,n,noise_lvl,data_type,model,TRE,TRE_STD,TESTE,TESTE_STD,E_DIFF,model_param
0,5,0.0,circles,logistic,0.252375,0.00878208403512515,0.23399999999999999,0.01939071942966531,0.01837500000000003,0.001
1,5,0.0,circles,logistic,0.25675,0.029595185419253604,0.24050000000000002,0.042941821107167794,0.01624999999999996,0.01
2,5,0.0,circles,logistic,0.256625,0.009103570728016572,0.2375,0.046151923036857306,0.019125000000000003,0.1
3,5,0.0,circles,logistic,0.25725,0.011028372500056399,0.24,0.04301162633521315,0.017249999999999988,0.5
4,5,0.0,circles,logistic,0.25725,0.010325938214031676,0.24,0.04301162633521315,0.017249999999999988,1.0
5,5,0.0,circles,logistic,0.257375,0.009981232388838556,0.2395,0.04247352116319062,0.01787500000000003,10.0
6,5,0.0,circles,logistic,0.257375,0.009981232388838556,0.24,0.04301162633521315,0.01737500000000003,100.0
7,5,0.0,circles,svm,0.25349999999999995,0.00556776436283003,0.236,0.022271057451320086,0.01749999999999996,0.001
8,5,0.0,circles,svm,0.25349999999999995,0.00556776436283003,0.236,0.022271057451320086,0.01749999999999996,0.005
9,5,0.0,circles,svm,0.25349999999999995,0.00556776436283003,0.236,0.022271057451320086,0.01749999999999996,0.01
10,5,0.0,circles,svm,0.28925,0.023189437250610487,0.26499999999999996,0.03987480407475376,0.02425000000000005,0.05
11,5,0.0,circles,svm,0.33149999999999996,0.01975790980847922,0.326,0.0355808937493144,0.005499999999999949,0.1
12,5,0.0,circles,svm,0.33875,0.021080203983832774,0.3335,0.05025932749251625,0.005249999999999977,0.5
13,5,0.0,circles,svm,0.344125,0.01439618004888797,0.33099999999999996,0.03982461550347975,0.013125000000000053,5.0
14,5,0.0,circles,svm,0.348625,0.012026013470805683,0.3225,0.049193495504995396,0.02612500000000001,10.0
15,5,0.0,circles,svm,0.379125,0.007356969484781085,0.31100000000000005,0.05075431016179809,0.06812499999999994,50.0
16,5,0.0,moons,logistic,0.396,0.01246495086231792,0.392,0.027640549922170493,0.0040000000000000036,0.001
17,5,0.0,moons,logistic,0.40425000000000005,0.011869077470469233,0.404,0.0338526217596215,0.000250000000000028,0.01
18,5,0.0,moons,logistic,0.42175,0.01135781669160054,0.4205,0.04029888335921978,0.0012500000000000289,0.1
19,5,0.0,moons,logistic,0.42612500000000003,0.01154880946245108,0.4255,0.03942080668885405,0.0006250000000000422,0.5
20,5,0.0,moons,logistic,0.42700000000000005,0.01116355678088304,0.426,0.0420238027789014,0.0010000000000000564,1.0
21,5,0.0,moons,logistic,0.42712500000000003,0.010049875621120898,0.426,0.040074929819027764,0.0011250000000000426,10.0
22,5,0.0,moons,logistic,0.42712500000000003,0.010265232583823912,0.4255,0.04140048308896891,0.001625000000000043,100.0
23,5,0.0,moons,svm,0.394625,0.009103570728016572,0.3945,0.02956349099818895,0.00012499999999998623,0.001
24,5,0.0,moons,svm,0.41525,0.010265232583823924,0.41500000000000004,0.03674234614174767,0.00024999999999997247,0.005
25,5,0.0,moons,svm,0.41974999999999996,0.012237238250520411,0.41800000000000004,0.03865229618017539,0.0017499999999999183,0.01
26,5,0.0,moons,svm,0.42787499999999995,0.010386289038920499,0.426,0.039824615503479766,0.00187499999999996,0.05
27,5,0.0,moons,svm,0.43462499999999993,0.009340770846134699,0.43450000000000005,0.037735924528226446,0.0001249999999998752,0.1
28,5,0.0,moons,svm,0.45837500000000003,0.0026925824035672562,0.45499999999999996,0.018439088914585792,0.0033750000000000724,0.5
29,5,0.0,moons,svm,0.46687500000000004,0.002499999999999991,0.4640000000000001,0.015999999999999983,0.002874999999999961,5.0
30,5,0.0,moons,svm,0.46762499999999996,0.003391164991562614,0.46299999999999997,0.01593737745050921,0.00462499999999999,10.0
31,5,0.0,moons,svm,0.47074999999999995,0.0018371173070873988,0.4585000000000001,0.01029563014098701,0.012249999999999872,50.0
32,5,0.1,circles,logistic,0.25149999999999995,0.0018708286933869782,0.244,0.007483314773547889,0.007499999999999951,0.001
33,5,0.1,circles,logistic,0.251625,0.03747165595486806,0.2435,0.036138621999185314,0.008124999999999993,0.01
34,5,0.1,circles,logistic,0.24975000000000006,0.020925462957841593,0.2425,0.031144823004794882,0.007250000000000062,0.1
35,5,0.1,circles,logistic,0.24937499999999999,0.015491933384829666,0.24,0.022360679774997897,0.009374999999999994,0.5
36,5,0.1,circles,logistic,0.24925000000000003,0.015479825580412738,0.24099999999999996,0.022271057451320086,0.008250000000000063,1.0
37,5,0.1,circles,logistic,0.24912499999999999,0.014949916387726062,0.2395,0.025179356624028343,0.009624999999999995,10.0
38,5,0.1,circles,logistic,0.24912499999999999,0.014949916387726062,0.2395,0.025179356624028343,0.009624999999999995,100.0
39,5,0.1,circles,svm,0.25149999999999995,0.0018708286933869782,0.244,0.007483314773547889,0.007499999999999951,0.001
40,5,0.1,circles,svm,0.25149999999999995,0.0018708286933869782,0.244,0.007483314773547889,0.007499999999999951,0.005
41,5,0.1,circles,svm,0.25149999999999995,0.0018708286933869782,0.244,0.007483314773547889,0.007499999999999951,0.01
42,5,0.1,circles,svm,0.28725,0.014352700094407311,0.276,0.015999999999999966,0.011249999999999982,0.05
43,5,0.1,circles,svm,0.32399999999999995,0.011953033087881931,0.319,0.032186953878862154,0.004999999999999949,0.1
44,5,0.1,circles,svm,0.332375,0.00755810822891549,0.328,0.037336309405188936,0.004374999999999962,0.5
45,5,0.1,circles,svm,0.34025,0.0057336724705898436,0.3325,0.0363318042491699,0.007749999999999979,5.0
